Order Date,Region,Category,Sub-Category,Segment,Sales
2015-02-04,West,Office Supplies,Paper,Home Office,34.24
2015-02-06,Central,Office Supplies,Binders,Consumer,8.952
2015-02-06,South,Office Supplies,Labels,Corporate,15.0
2015-02-06,South,Technology,Phones,Corporate,306.56
2015-02-07,East,Office Supplies,Storage,Corporate,64.96
2015-02-07,East,Technology,Accessories,Corporate,115.36
2015-02-08,West,Furniture,Furnishings,Home Office,14.56
2015-02-11,Central,Furniture,Chairs,Consumer,60.89
2015-02-11,Central,Furniture,Furnishings,Consumer,332.94
2015-02-11,Central,Office Supplies,Binders,Consumer,61.54
2015-02-11,Central,Office Supplies,Labels,Consumer,14.94
2015-02-11,Central,Office Supplies,Storage,Consumer,64.96
2015-02-11,South,Furniture,Tables,Consumer,1256.22
2015-02-11,South,Office Supplies,Binders,Consumer,17.46
2015-02-11,South,Technology,Accessories,Consumer,234.45
2015-02-12,West,Furniture,Chairs,Consumer,129.568
2015-02-14,Central,Office Supplies,Paper,Consumer,16.176
2015-02-14,West,Office Supplies,Appliances,Corporate,81.96
2015-02-14,West,Office Supplies,Supplies,Corporate,238.62
2015-02-14,West,Technology,Accessories,Corporate,239.97
2015-02-15,West,Office Supplies,Binders,Corporate,21.36
2015-02-16,Central,Office Supplies,Appliances,Consumer,7.96
2015-02-16,Central,Office Supplies,Binders,Consumer,1.08
2015-02-17,Central,Office Supplies,Art,Consumer,54.208
2015-02-18,Central,Furniture,Furnishings,Consumer,25.16
2015-02-18,Central,Office Supplies,Storage,Consumer,12.624
2015-02-20,Central,Furniture,Furnishings,Corporate,20.32
2015-02-20,Central,Technology,Accessories,Corporate,62.31
2015-02-20,West,Office Supplies,Paper,Home Office,12.96
2015-02-21,Central,Office Supplies,Binders,Consumer,8.85
2015-02-22,West,Office Supplies,Paper,Consumer,19.44
2015-02-23,Central,Office Supplies,Binders,Home Office,4.428
2015-02-23,Central,Office Supplies,Labels,Home Office,6.936
2015-02-24,West,Office Supplies,Paper,Consumer,55.672
2015-02-27,East,Office Supplies,Art,Consumer,19.456
2015-03-01,Central,Furniture,Chairs,Consumer,362.25
2015-03-01,Central,Furniture,Chairs,Home Office,634.116
2015-03-01,Central,Furniture,Furnishings,Consumer,63.552
2015-03-01,Central,Furniture,Tables,Consumer,376.509
2015-03-01,Central,Office Supplies,Fasteners,Consumer,18.84
2015-03-01,Central,Office Supplies,Paper,Home Office,17.472
2015-03-01,Central,Office Supplies,Storage,Consumer,266.904
2015-03-01,East,Technology,Phones,Home Office,5.94
2015-03-01,West,Furniture,Chairs,Consumer,457.568
2015-03-02,East,Office Supplies,Envelopes,Home Office,11.36
2015-03-02,East,Office Supplies,Paper,Home Office,36.4
2015-03-03,Central,Office Supplies,Appliances,Consumer,176.772
2015-03-03,East,Furniture,Bookcases,Corporate,302.45
2015-03-03,East,Office Supplies,Binders,Home Office,151.08
2015-03-03,East,Office Supplies,Labels,Corporate,15.12
2015-03-03,East,Office Supplies,Storage,Corporate,44.672
2015-03-03,East,Technology,Phones,Home Office,9.99
2015-03-03,South,Office Supplies,Art,Consumer,19.456
2015-03-03,West,Furniture,Tables,Consumer,626.352
2015-03-04,South,Office Supplies,Art,Consumer,15.552
2015-03-04,South,Office Supplies,Storage,Consumer,354.9
2015-03-05,East,Office Supplies,Art,Consumer,59.52
2015-03-05,East,Office Supplies,Binders,Consumer,49.632
2015-03-05,East,Office Supplies,Paper,Consumer,97.82
2015-03-05,East,Office Supplies,Supplies,Consumer,18.62
2015-03-05,East,Technology,Accessories,Consumer,479.97
2015-03-07,West,Furniture,Chairs,Consumer,48.712
2015-03-07,West,Furniture,Chairs,Corporate,918.2719999999999
2015-03-07,West,Office Supplies,Art,Consumer,17.94
2015-03-07,West,Office Supplies,Art,Corporate,20.65
2015-03-07,West,Office Supplies,Binders,Home Office,107.648
2015-03-07,West,Office Supplies,Storage,Consumer,242.94
2015-03-07,West,Office Supplies,Storage,Corporate,204.9
2015-03-10,Central,Office Supplies,Paper,Consumer,22.38
2015-03-10,West,Office Supplies,Art,Consumer,83.168
2015-03-10,West,Office Supplies,Storage,Consumer,636.408
2015-03-11,East,Furniture,Furnishings,Consumer,8.32
2015-03-11,East,Office Supplies,Fasteners,Consumer,10.464
2015-03-11,East,Office Supplies,Paper,Consumer,108.92
2015-03-11,South,Office Supplies,Appliances,Corporate,146.76
2015-03-11,South,Office Supplies,Paper,Corporate,14.94
2015-03-11,South,Technology,Accessories,Corporate,32.96
2015-03-11,South,Technology,Phones,Corporate,587.97
2015-03-11,West,Office Supplies,Art,Consumer,7.98
2015-03-14,Central,Office Supplies,Paper,Home Office,8.448
2015-03-14,Central,Technology,Machines,Home Office,574.91
2015-03-14,South,Furniture,Chairs,Home Office,1139.92
2015-03-14,South,Office Supplies,Paper,Home Office,91.056
2015-03-14,West,Office Supplies,Art,Corporate,3.38
2015-03-14,West,Office Supplies,Binders,Consumer,95.136
2015-03-14,West,Office Supplies,Paper,Corporate,10.56
2015-03-14,West,Office Supplies,Storage,Consumer,102.34
2015-03-14,West,Technology,Accessories,Consumer,82.8
2015-03-15,South,Furniture,Furnishings,Consumer,45.696
2015-03-15,South,Office Supplies,Binders,Consumer,50.406000000000006
2015-03-15,South,Office Supplies,Paper,Consumer,131.904
2015-03-15,South,Office Supplies,Storage,Consumer,142.776
2015-03-16,South,Technology,Phones,Home Office,471.92
2015-03-17,Central,Office Supplies,Appliances,Consumer,93.78
2015-03-17,Central,Office Supplies,Art,Consumer,24.128
2015-03-17,Central,Office Supplies,Binders,Consumer,89.28
2015-03-17,Central,Office Supplies,Paper,Consumer,67.916
2015-03-17,East,Furniture,Tables,Corporate,3265.23
2015-03-17,East,Office Supplies,Paper,Corporate,316.524
2015-03-17,South,Office Supplies,Appliances,Corporate,32.67
2015-03-17,South,Office Supplies,Binders,Corporate,41.870000000000005
2015-03-17,South,Office Supplies,Paper,Corporate,28.96
2015-03-18,South,Furniture,Furnishings,Home Office,153.12
2015-03-18,South,Office Supplies,Art,Home Office,8.016
2015-03-18,South,Office Supplies,Fasteners,Home Office,18.936
2015-03-18,South,Office Supplies,Paper,Home Office,21.376
2015-03-18,South,Technology,Machines,Home Office,23459.78
2015-03-18,West,Furniture,Bookcases,Home Office,1198.33
2015-03-18,West,Furniture,Furnishings,Home Office,111.0
2015-03-18,West,Office Supplies,Storage,Home Office,1856.19
2015-03-18,West,Technology,Machines,Home Office,1279.968
2015-03-19,South,Furniture,Furnishings,Corporate,25.008
2015-03-19,South,Office Supplies,Binders,Corporate,33.57
2015-03-19,South,Office Supplies,Labels,Corporate,11.808
2015-03-19,South,Office Supplies,Storage,Corporate,26.16
2015-03-19,South,Technology,Accessories,Corporate,170.24
2015-03-19,South,Technology,Phones,Corporate,323.976
2015-03-21,East,Office Supplies,Art,Consumer,13.456
2015-03-21,South,Furniture,Chairs,Consumer,218.376
2015-03-21,South,Furniture,Furnishings,Consumer,32.952
2015-03-21,South,Office Supplies,Art,Corporate,9.32
2015-03-21,South,Office Supplies,Binders,Corporate,122.94
2015-03-21,South,Office Supplies,Labels,Consumer,59.2
2015-03-21,South,Office Supplies,Labels,Corporate,14.4
2015-03-21,South,Office Supplies,Paper,Corporate,122.97
2015-03-21,South,Office Supplies,Storage,Corporate,16.272
2015-03-21,South,Technology,Phones,Corporate,3499.93
2015-03-22,Central,Office Supplies,Art,Consumer,16.28
2015-03-22,South,Office Supplies,Binders,Consumer,59.109
2015-03-22,West,Furniture,Chairs,Corporate,314.352
2015-03-22,West,Office Supplies,Paper,Corporate,74.352
2015-03-23,South,Office Supplies,Labels,Consumer,9.912
2015-03-23,West,Office Supplies,Storage,Consumer,330.4
2015-03-23,West,Technology,Phones,Consumer,604.752
2015-03-24,East,Office Supplies,Paper,Consumer,24.9
2015-03-24,West,Furniture,Furnishings,Consumer,40.48
2015-03-25,East,Furniture,Chairs,Consumer,366.786
2015-03-25,West,Office Supplies,Art,Consumer,46.879999999999995
2015-03-25,West,Technology,Accessories,Consumer,45.48
2015-03-26,West,Office Supplies,Art,Corporate,3.36
2015-03-26,West,Office Supplies,Binders,Corporate,27.936
2015-03-26,West,Office Supplies,Labels,Consumer,18.75
2015-03-26,West,Technology,Accessories,Corporate,66.3
2015-03-26,West,Technology,Phones,Corporate,28.784
2015-03-28,Central,Furniture,Tables,Consumer,1184.72
2015-03-28,Central,Office Supplies,Envelopes,Consumer,6.12
2015-03-28,West,Technology,Phones,Home Office,302.376
2015-03-29,Central,Furniture,Tables,Consumer,890.841
2015-03-30,Central,Furniture,Chairs,Home Office,127.302
2015-03-30,Central,Office Supplies,Envelopes,Home Office,335.72
2015-03-30,Central,Office Supplies,Storage,Consumer,129.3
2015-03-30,Central,Technology,Phones,Home Office,251.944
2015-03-30,East,Office Supplies,Art,Consumer,49.65
2015-03-30,East,Office Supplies,Art,Corporate,10.5
2015-03-30,West,Furniture,Bookcases,Consumer,205.666
2015-03-30,West,Office Supplies,Labels,Corporate,44.4
2015-03-30,West,Office Supplies,Storage,Corporate,15.84
2015-03-31,Central,Office Supplies,Binders,Consumer,8.134
2015-03-31,Central,Technology,Accessories,Consumer,79.984
2015-03-31,East,Office Supplies,Binders,Consumer,0.852
2015-03-31,South,Furniture,Chairs,Consumer,1125.488
2015-03-31,South,Office Supplies,Art,Consumer,4.032
2015-03-31,South,Office Supplies,Binders,Consumer,12.645
2015-03-31,South,Office Supplies,Binders,Corporate,1.869
2015-03-31,West,Office Supplies,Appliances,Consumer,52.98
2015-03-31,West,Office Supplies,Binders,Consumer,673.568
2015-04-01,East,Office Supplies,Binders,Corporate,6.24
2015-04-01,East,Office Supplies,Storage,Corporate,66.96
2015-04-01,West,Office Supplies,Binders,Consumer,17.088
2015-04-01,West,Office Supplies,Labels,Consumer,29.6
2015-04-02,Central,Office Supplies,Paper,Consumer,60.208
2015-04-02,South,Furniture,Furnishings,Corporate,177.68
2015-04-02,South,Office Supplies,Appliances,Consumer,154.9
2015-04-02,South,Office Supplies,Paper,Consumer,15.84
2015-04-02,South,Technology,Phones,Consumer,1049.93
2015-04-04,Central,Furniture,Furnishings,Consumer,5.47
2015-04-04,Central,Office Supplies,Art,Consumer,79.36
2015-04-04,South,Office Supplies,Paper,Corporate,32.400000000000006
2015-04-04,South,Office Supplies,Storage,Corporate,232.55
2015-04-04,South,Technology,Accessories,Corporate,99.98
2015-04-04,West,Office Supplies,Binders,Corporate,7.184
2015-04-04,West,Office Supplies,Labels,Home Office,18.9
2015-04-05,Central,Office Supplies,Art,Consumer,40.59
2015-04-05,Central,Office Supplies,Binders,Consumer,40.2
2015-04-05,Central,Office Supplies,Storage,Consumer,689.82
2015-04-05,Central,Office Supplies,Storage,Corporate,101.728
2015-04-05,East,Office Supplies,Paper,Home Office,55.48
2015-04-05,South,Office Supplies,Art,Corporate,45.92
2015-04-05,South,Office Supplies,Paper,Corporate,12.96
2015-04-05,South,Office Supplies,Supplies,Corporate,4164.05
2015-04-05,South,Technology,Phones,Corporate,28.99
2015-04-06,East,Furniture,Tables,Home Office,154.764
2015-04-06,East,Office Supplies,Binders,Corporate,44.91
2015-04-06,East,Office Supplies,Supplies,Home Office,10.304
2015-04-06,East,Technology,Accessories,Home Office,116.784
2015-04-06,West,Furniture,Furnishings,Corporate,125.07
2015-04-06,West,Furniture,Tables,Corporate,653.55
2015-04-06,West,Office Supplies,Art,Corporate,70.95
2015-04-06,West,Office Supplies,Binders,Corporate,65.568
2015-04-06,West,Office Supplies,Paper,Corporate,74.92
2015-04-06,West,Technology,Accessories,Corporate,333.87
2015-04-07,South,Furniture,Furnishings,Consumer,8.96
2015-04-07,South,Office Supplies,Paper,Corporate,122.97
2015-04-07,South,Office Supplies,Paper,Home Office,58.32
2015-04-07,South,Technology,Phones,Corporate,629.95
2015-04-07,South,Technology,Phones,Home Office,200.97
2015-04-08,East,Furniture,Tables,Consumer,172.11
2015-04-08,South,Furniture,Tables,Corporate,1215.92
2015-04-08,West,Furniture,Tables,Home Office,99.592
2015-04-08,West,Office Supplies,Fasteners,Corporate,2.368
2015-04-08,West,Office Supplies,Fasteners,Home Office,49.792
2015-04-08,West,Office Supplies,Paper,Corporate,19.008
2015-04-08,West,Technology,Accessories,Home Office,399.96
2015-04-11,Central,Technology,Phones,Home Office,758.352
2015-04-11,South,Office Supplies,Fasteners,Consumer,6.912
2015-04-11,South,Office Supplies,Paper,Consumer,10.368
2015-04-11,South,Technology,Accessories,Consumer,719.9200000000001
2015-04-11,West,Office Supplies,Binders,Consumer,9.584
2015-04-11,West,Office Supplies,Storage,Consumer,87.08
2015-04-11,West,Technology,Accessories,Consumer,217.44
2015-04-11,West,Technology,Phones,Consumer,105.584
2015-04-12,Central,Office Supplies,Paper,Consumer,32.4
2015-04-12,West,Furniture,Bookcases,Corporate,308.499
2015-04-12,West,Office Supplies,Binders,Corporate,18.088
2015-04-12,West,Technology,Phones,Corporate,1513.456
2015-04-13,East,Office Supplies,Art,Corporate,17.856
2015-04-13,East,Office Supplies,Binders,Corporate,509.97
2015-04-13,East,Office Supplies,Fasteners,Corporate,30.992
2015-04-13,East,Office Supplies,Labels,Home Office,7.83
2015-04-13,East,Technology,Phones,Corporate,71.928
2015-04-15,West,Furniture,Furnishings,Home Office,187.76
2015-04-15,West,Office Supplies,Appliances,Home Office,106.96
2015-04-16,South,Office Supplies,Art,Corporate,39.072
2015-04-18,Central,Furniture,Chairs,Consumer,317.058
2015-04-18,Central,Office Supplies,Art,Consumer,2.688
2015-04-18,Central,Office Supplies,Envelopes,Consumer,149.352
2015-04-18,Central,Technology,Accessories,Consumer,227.976
2015-04-18,West,Office Supplies,Art,Consumer,23.869999999999997
2015-04-18,West,Office Supplies,Fasteners,Consumer,11.62
2015-04-18,West,Technology,Machines,Consumer,287.968
2015-04-19,South,Office Supplies,Binders,Consumer,58.05
2015-04-19,South,Office Supplies,Paper,Consumer,71.28
2015-04-19,West,Furniture,Furnishings,Home Office,76.14
2015-04-20,Central,Furniture,Tables,Consumer,1145.69
2015-04-20,Central,Office Supplies,Storage,Consumer,44.84
2015-04-20,West,Furniture,Furnishings,Consumer,59.92
2015-04-21,South,Office Supplies,Storage,Corporate,828.84
2015-04-21,West,Office Supplies,Binders,Consumer,16.52
2015-04-22,East,Office Supplies,Binders,Corporate,9.912
2015-04-22,East,Office Supplies,Envelopes,Corporate,247.84
2015-04-23,East,Furniture,Chairs,Home Office,562.744
2015-04-23,East,Furniture,Furnishings,Home Office,22.336
2015-04-23,East,Office Supplies,Binders,Corporate,2.502
2015-04-23,East,Office Supplies,Binders,Home Office,7.488
2015-04-23,West,Office Supplies,Paper,Home Office,48.91
2015-04-25,Central,Office Supplies,Art,Home Office,6.24
2015-04-25,Central,Office Supplies,Paper,Home Office,10.368
2015-04-25,South,Technology,Phones,Consumer,302.376
2015-04-25,West,Furniture,Chairs,Home Office,1487.04
2015-04-25,West,Furniture,Furnishings,Home Office,303.25
2015-04-25,West,Office Supplies,Appliances,Home Office,270.72
2015-04-26,West,Furniture,Chairs,Corporate,230.28
2015-04-26,West,Office Supplies,Art,Home Office,21.4
2015-04-26,West,Office Supplies,Binders,Corporate,18.288
2015-04-26,West,Office Supplies,Labels,Home Office,12.6
2015-04-28,East,Office Supplies,Art,Corporate,5.34
2015-04-28,East,Office Supplies,Binders,Corporate,20.86
2015-04-28,East,Office Supplies,Labels,Corporate,10.062
2015-04-28,East,Office Supplies,Storage,Corporate,702.274
2015-04-28,East,Technology,Accessories,Corporate,159.98
2015-04-28,West,Technology,Phones,Consumer,1679.96
2015-04-29,East,Furniture,Furnishings,Consumer,17.46
2015-04-29,East,Technology,Phones,Consumer,19.98
2015-04-29,South,Furniture,Chairs,Consumer,51.96
2015-04-29,South,Furniture,Chairs,Corporate,561.584
2015-04-29,South,Office Supplies,Binders,Consumer,17.94
2015-04-29,South,Office Supplies,Storage,Corporate,99.92
2015-04-30,South,Office Supplies,Art,Consumer,174.95
2015-04-30,South,Office Supplies,Storage,Consumer,826.0
2015-04-30,South,Technology,Accessories,Consumer,47.79
2015-05-02,East,Office Supplies,Appliances,Consumer,26.136
2015-05-02,South,Technology,Copiers,Consumer,479.984
2015-05-03,Central,Office Supplies,Labels,Home Office,21.56
2015-05-03,East,Office Supplies,Binders,Consumer,51.072
2015-05-04,Central,Office Supplies,Art,Consumer,37.84
2015-05-04,Central,Office Supplies,Binders,Consumer,46.8
2015-05-04,Central,Office Supplies,Fasteners,Consumer,5.472
2015-05-04,East,Furniture,Furnishings,Consumer,27.46
2015-05-04,West,Furniture,Furnishings,Corporate,12.18
2015-05-04,West,Office Supplies,Appliances,Corporate,57.68
2015-05-05,Central,Furniture,Chairs,Consumer,127.869
2015-05-05,Central,Office Supplies,Storage,Corporate,45.248
2015-05-05,South,Office Supplies,Art,Consumer,6.56
2015-05-05,South,Office Supplies,Binders,Corporate,11.88
2015-05-05,South,Office Supplies,Paper,Consumer,33.98
2015-05-05,South,Office Supplies,Paper,Corporate,35.44
2015-05-06,West,Office Supplies,Art,Home Office,107.94
2015-05-06,West,Office Supplies,Binders,Home Office,140.736
2015-05-06,West,Office Supplies,Labels,Home Office,5.78
2015-05-07,East,Furniture,Chairs,Consumer,872.32
2015-05-07,East,Furniture,Tables,Consumer,194.25
2015-05-07,East,Office Supplies,Art,Consumer,8.64
2015-05-07,East,Office Supplies,Binders,Consumer,16.14
2015-05-08,East,Technology,Copiers,Consumer,1799.97
2015-05-09,South,Office Supplies,Labels,Corporate,30.099999999999998
2015-05-09,South,Office Supplies,Paper,Corporate,45.36
2015-05-09,South,Office Supplies,Storage,Corporate,83.25
2015-05-09,West,Technology,Accessories,Consumer,235.76999999999998
2015-05-10,East,Furniture,Bookcases,Consumer,349.965
2015-05-10,East,Office Supplies,Art,Consumer,22.32
2015-05-10,West,Furniture,Chairs,Consumer,256.784
2015-05-10,West,Office Supplies,Envelopes,Consumer,158.13
2015-05-10,West,Office Supplies,Paper,Consumer,39.96
2015-05-10,West,Office Supplies,Supplies,Consumer,41.04
2015-05-10,West,Technology,Phones,Consumer,1475.6
2015-05-11,Central,Furniture,Chairs,Corporate,1212.96
2015-05-11,Central,Furniture,Furnishings,Consumer,66.112
2015-05-11,Central,Office Supplies,Binders,Home Office,104.58
2015-05-11,Central,Office Supplies,Paper,Home Office,17.472
2015-05-11,Central,Technology,Accessories,Consumer,104.976
2015-05-11,Central,Technology,Phones,Consumer,100.792
2015-05-11,East,Office Supplies,Appliances,Corporate,35.91
2015-05-12,Central,Furniture,Furnishings,Consumer,34.79
2015-05-12,East,Furniture,Tables,Consumer,700.056
2015-05-13,South,Office Supplies,Binders,Home Office,398.352
2015-05-13,South,Office Supplies,Fasteners,Home Office,7.104
2015-05-13,West,Furniture,Chairs,Corporate,279.456
2015-05-13,West,Office Supplies,Paper,Corporate,8.0
2015-05-13,West,Office Supplies,Storage,Consumer,55.5
2015-05-13,West,Technology,Accessories,Consumer,149.97
2015-05-14,South,Furniture,Furnishings,Corporate,310.88
2015-05-16,West,Furniture,Chairs,Corporate,232.88
2015-05-16,West,Technology,Accessories,Consumer,56.4
2015-05-17,Central,Office Supplies,Binders,Home Office,91.68
2015-05-18,East,Furniture,Furnishings,Consumer,149.232
2015-05-18,East,Office Supplies,Paper,Consumer,15.936
2015-05-18,East,Technology,Phones,Consumer,779.796
2015-05-19,Central,Office Supplies,Binders,Consumer,57.42
2015-05-19,South,Office Supplies,Supplies,Consumer,34.2
2015-05-20,Central,Furniture,Furnishings,Corporate,10.332
2015-05-20,Central,Office Supplies,Paper,Corporate,10.368
2015-05-20,Central,Office Supplies,Storage,Corporate,66.96
2015-05-20,Central,Technology,Accessories,Corporate,20.784
2015-05-20,East,Furniture,Furnishings,Corporate,139.86
2015-05-20,East,Office Supplies,Appliances,Corporate,33.28
2015-05-20,East,Office Supplies,Art,Corporate,38.52
2015-05-21,Central,Furniture,Chairs,Consumer,107.772
2015-05-21,Central,Office Supplies,Binders,Consumer,18.24
2015-05-21,Central,Office Supplies,Envelopes,Consumer,56.064
2015-05-21,Central,Office Supplies,Paper,Consumer,4.832
2015-05-21,East,Office Supplies,Appliances,Home Office,245.88
2015-05-21,East,Office Supplies,Binders,Home Office,447.86
2015-05-21,East,Office Supplies,Paper,Home Office,17.94
2015-05-21,South,Office Supplies,Binders,Corporate,2715.93
2015-05-21,South,Technology,Phones,Corporate,617.97
2015-05-21,West,Office Supplies,Art,Home Office,31.84
2015-05-22,South,Technology,Phones,Consumer,180.93
2015-05-23,East,Office Supplies,Appliances,Consumer,208.16
2015-05-23,East,Office Supplies,Art,Consumer,21.168
2015-05-23,East,Office Supplies,Binders,Consumer,21.242
2015-05-23,East,Office Supplies,Supplies,Consumer,5.04
2015-05-23,East,Technology,Phones,Consumer,55.188
2015-05-23,West,Office Supplies,Paper,Consumer,12.96
2015-05-24,East,Office Supplies,Paper,Consumer,116.28
2015-05-25,Central,Furniture,Furnishings,Consumer,29.32
2015-05-25,Central,Office Supplies,Appliances,Consumer,75.6
2015-05-25,East,Office Supplies,Paper,Consumer,14.62
2015-05-26,Central,Furniture,Chairs,Consumer,359.772
2015-05-26,Central,Office Supplies,Art,Consumer,13.392
2015-05-26,Central,Office Supplies,Storage,Consumer,102.624
2015-05-26,West,Furniture,Bookcases,Corporate,290.666
2015-05-26,West,Furniture,Chairs,Consumer,225.296
2015-05-26,West,Office Supplies,Paper,Home Office,48.4
2015-05-26,West,Technology,Phones,Corporate,285.568
2015-05-27,Central,Office Supplies,Binders,Consumer,17.46
2015-05-27,West,Furniture,Tables,Corporate,567.12
2015-05-27,West,Office Supplies,Storage,Corporate,359.32
2015-05-27,West,Technology,Accessories,Consumer,99.99
2015-05-27,West,Technology,Phones,Consumer,1113.504
2015-05-28,West,Office Supplies,Binders,Consumer,136.96
2015-05-28,West,Technology,Accessories,Corporate,27.6
2015-05-28,West,Technology,Phones,Corporate,57.408
2015-05-30,Central,Furniture,Tables,Consumer,355.455
2015-05-30,Central,Technology,Copiers,Corporate,719.976
2015-05-30,East,Office Supplies,Appliances,Corporate,235.95
2015-05-30,East,Office Supplies,Binders,Consumer,70.368
2015-05-30,East,Office Supplies,Binders,Corporate,25.584
2015-05-30,East,Office Supplies,Paper,Corporate,39.96
2015-05-30,East,Technology,Phones,Corporate,464.0
2015-05-30,South,Office Supplies,Paper,Corporate,13.62
2015-05-31,South,Technology,Phones,Consumer,773.7
2015-06-01,Central,Furniture,Chairs,Home Office,2001.86
2015-06-01,Central,Office Supplies,Appliances,Corporate,65.52
2015-06-01,Central,Office Supplies,Appliances,Home Office,1503.25
2015-06-01,Central,Office Supplies,Binders,Corporate,138.56
2015-06-01,Central,Office Supplies,Paper,Home Office,73.80000000000001
2015-06-01,Central,Office Supplies,Storage,Home Office,166.72
2015-06-01,East,Office Supplies,Art,Home Office,289.2
2015-06-01,East,Office Supplies,Binders,Home Office,45.48
2015-06-01,South,Furniture,Furnishings,Consumer,22.2
2015-06-01,South,Technology,Phones,Consumer,881.93
2015-06-02,South,Office Supplies,Art,Consumer,8.56
2015-06-02,South,Office Supplies,Storage,Consumer,356.94
2015-06-02,South,Technology,Phones,Consumer,239.97
2015-06-02,West,Furniture,Furnishings,Home Office,73.32
2015-06-02,West,Office Supplies,Binders,Home Office,59.808
2015-06-03,Central,Office Supplies,Envelopes,Home Office,15.28
